thumb,index,middle,ring,pinky,palm_normal_angle,class
45.0703112196,136.776150054,6.62190553948,10.6648315399,18.6429757263,145.7068,okay
43.9672732346,135.510925812,7.38009453028,9.33550938776,17.5364219015,146.49066,okay
44.3626626404,135.581536308,7.66067870138,8.58041404577,16.2292739586,146.93046,okay
43.0765585103,136.041167058,8.03814739832,8.35021361885,15.9596471184,146.36896,okay
40.5397818563,136.723940088,7.91028540328,8.20319891961,15.9145866529,146.92748,okay
41.5827961388,135.768437604,7.84545239391,8.56630287495,16.3155631534,146.61482,okay
43.8430355087,135.755364622,8.58554010274,7.88341543909,14.6446529957,146.71791,okay
41.3296215168,135.69606492,8.23721155413,8.06801069292,14.5858587273,146.38034,okay
43.8674124539,135.075118762,7.94907575512,8.23785529946,14.6044402569,145.82524,okay
44.9288067754,135.058589704,7.95460564703,8.1972609239,14.4889485882,145.86219,okay
20.5796758655,136.108089251,6.70235620328,18.8533694584,22.7763552026,142.64481,okay
20.0793508484,135.500229736,7.32828242278,19.0946663814,23.0605098551,142.95306,okay
19.8867822025,136.480525806,5.87906611818,18.1496943418,22.6316713054,142.95873,okay
18.664842577,135.925122144,6.55834422595,17.5489979874,22.5206107219,142.87321,okay
16.8340786718,136.034514454,6.04179366761,16.2826484718,16.3361083625,142.52401,okay
17.6966239885,136.708394578,4.72961187521,14.4444106322,19.5213602517,142.7138,okay
16.8454782576,137.411917722,4.08144741355,13.4727658501,19.833634793,142.58721,okay
17.2152544539,138.617732979,3.20265179616,12.643656017,19.6487313269,142.3605,okay
17.3686605027,139.124819883,2.60541685348,12.061500211,20.0053525789,142.31567,okay
17.2012628114,138.8300699,2.7107945061,11.5721393551,19.6478570627,142.35126,okay
24.6174070801,131.979226238,5.06616133572,8.39751267886,17.1808456685,128.67638,okay
24.2325634865,132.824380185,5.00405869446,8.44880313065,17.2765366187,128.68201,okay
23.448773666,133.104786771,5.53576544257,8.94737961931,17.4630093208,129.07246,okay
22.7396121999,133.989747061,5.43653303921,8.3656489926,17.2575521079,129.36228,okay
21.7415064112,133.260965877,5.35887805722,8.41869565679,17.1900578861,129.12914,okay
22.1584740921,132.922584645,5.49287014704,8.94582062863,17.5042380502,129.17729,okay
22.1120783247,132.681998062,5.56574058152,9.18831624983,17.6339160218,129.25768,okay
21.9592306439,132.85777981,5.3962289467,8.59797616967,17.533531024,129.6426,okay
20.8575911402,133.842542824,5.23902915474,8.17221718154,17.0834283879,129.66517,okay
20.5496435237,134.849640557,4.80493349383,7.44318242632,16.9751425688,130.03014,okay
27.4378927168,120.905426876,2.49841852504,3.50481381551,15.2168999047,110.37783,okay
28.0241227306,120.336827288,2.44015786519,2.79792338736,15.0454314207,110.55042,okay
24.5762688508,122.385938681,3.23270825704,2.95399683843,15.691055052,110.31364,okay
